id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
155918,Yichang Shengwu Jianwen Lu Special,2020-08-21,ONA,FINISHED,1.0,21.0,Comedy|Supernatural,MMT,,105,3
126165,Eien Hanahadashii,2020-08-21,MUSIC,FINISHED,1.0,4.0,,,60.0,261,10
124668,Slimetachi no Idobata Kaigi,2020-08-21,ONA,FINISHED,12.0,1.0,Comedy,AQUA ARIS,51.0,1231,14
123885,Rebirth: Virtual to no Souguu,2020-08-21,SPECIAL,FINISHED,1.0,3.0,Comedy|Slice of Life,LIDENFILMS,53.0,808,10
123464,"Kanojo, Okarishimasu Collab Mini Animation",2020-08-21,ONA,FINISHED,3.0,2.0,Comedy,AQUA ARIS,53.0,1626,18
123952,Dazzling White Town,2020-08-19,MUSIC,FINISHED,1.0,10.0,,Sunrise,70.0,1459,14
118637,Tteotda Keunyeo!! another step,2020-08-18,ONA,FINISHED,1.0,8.0,Comedy|Romance,,56.0,242,5
122349,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,2020-08-16,ONA,FINISHED,2.0,24.0,Action|Adventure|Comedy,bones,70.0,55198,592
122875,Sore wo Ai to Yobu Dake,2020-08-15,MUSIC,FINISHED,1.0,4.0,Drama|Romance,TIA|ENISHIYA,67.0,1001,24
121215,Dahua: Shaonian You,2020-08-15,ONA,FINISHED,16.0,18.0,Adventure|Fantasy,DC Impression Vision,,227,4
115834,Jing: Shuang Cheng - Feng Qi Pian,2020-08-15,ONA,FINISHED,4.0,21.0,Action|Adventure|Fantasy|Romance,Foch,57.0,371,10
21719,Fate/stay night [Heaven's Feel] III. spring song,2020-08-15,MOVIE,FINISHED,1.0,122.0,Action|Drama|Fantasy|Psychological|Supernatural|Thriller,ufotable,85.0,118450,6210
156063,Fushigi Dagashiya: Zenitendou - Tsuri Taiyaki,2020-08-14,MOVIE,FINISHED,1.0,9.0,,Toei Animation,,202,0
148351,cynthia,2020-08-14,MUSIC,FINISHED,1.0,4.0,,,,95,1
140029,Kata no Ato,2020-08-14,MOVIE,FINISHED,1.0,4.0,Romance,,52.0,399,2
116224,Oshiri Tantei: Tentou Mushi Iseki no Nazo,2020-08-14,MOVIE,FINISHED,1.0,40.0,Comedy|Mystery,,,117,1
111852,Date A Bullet: Dead or Bullet,2020-08-14,MOVIE,FINISHED,1.0,25.0,Sci-Fi,GEEKTOYS,73.0,33483,615
110595,Yi Nian Yongheng,2020-08-12,ONA,FINISHED,52.0,19.0,Action|Comedy|Fantasy,B.CMAY PICTURES,77.0,6892,222
122735,Ham,2020-08-11,MUSIC,FINISHED,1.0,4.0,Psychological,,63.0,737,9
