anime_id,titulo,fecha_inicio,episodios,duracion,calificacion,popularidad,favoritos,formato_id,estado_id
208225,"""Kimi wo Aisuru Ki wa nai"" to Itta Jiki Koushaku-sama ga Naze ka Dekiai Shitekimasu",2026-07-05,12.0,23.0,64.0,11105,125,6,4
205116,Aware! Meisaku-kun (2026),2026-07-05,,3.0,,84,2,7,4
204060,Tetsunabe no Jan!,2026-07-05,,23.0,70.0,9630,99,6,4
201514,"Saijo no Osewa: Takane no Hanadarake na Meimonkou de, Gakuin Ichi no Ojou-sama (Seikatsu Nouryoku Kaimu) wo Kagenagara Osewa suru Koto ni Narimashita",2026-07-05,12.0,24.0,70.0,38665,574,6,4
200637,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo 3rd Season,2026-07-05,12.0,24.0,79.0,36915,756,6,4
200230,Let's Go Kaikigumi,2026-07-05,12.0,24.0,56.0,5359,48,6,4
198409,Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,2026-07-05,12.0,24.0,55.0,25444,283,6,4
197178,ONE PIECE HEROINES,2026-07-05,1.0,23.0,78.0,15073,209,5,2
196017,Grow Up Show: Himawari no Circus-dan,2026-07-05,,24.0,70.0,8798,93,6,4
194219,Oni no Hanayome,2026-07-05,12.0,24.0,68.0,19395,356,6,4
185875,Mahou Shoujo Lyrical Nanoha EXCEEDS Gun Blaze Vengeance,2026-07-05,12.0,24.0,65.0,9056,124,6,4
185692,Kabushiki Gaisha Magi Lumiere 2nd Season,2026-07-05,,,65.0,6855,68,6,4
103303,Nijusseiki Denki Mokuroku: Eureka Evrika,2026-07-05,13.0,25.0,75.0,52138,572,6,4
214866,Orion,2026-07-04,1.0,4.0,,69,3,2,2
213831,Snack HAZAMA,2026-07-04,12.0,12.0,52.0,1046,9,7,4
212308,Pan no Akachan (TV),2026-07-04,,2.0,,209,1,7,4
209983,Hell Mode: Yarikomi-zuki no Gamer wa Haisettei no Isekai de Musou Suru 2nd Season,2026-07-04,13.0,25.0,72.0,35516,549,6,4
207674,Ushiro no Shoumen Kamui-san,2026-07-04,12.0,12.0,57.0,17921,256,7,4
206249,Iwamoto-senpai no Suisen,2026-07-04,,24.0,52.0,6002,53,6,4
203490,Uchi no Otouto-domo ga Sumimasen,2026-07-04,24.0,24.0,68.0,8929,122,6,4
190569,Tenmaku no Jaadugar,2026-07-04,,23.0,82.0,39035,681,6,4
187538,BLACK TORCH,2026-07-04,,24.0,71.0,62055,888,6,4
185542,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",2026-07-04,12.0,24.0,66.0,45400,651,6,4
178789,Mushoku Tensei III: Isekai Ittara Honki Dasu,2026-07-04,14.0,24.0,84.0,146369,4485,6,4
168134,Hua Xianzi: Mofa Xiang Dui Lun,2026-07-04,26.0,,,579,3,3,2
213484,Bai Ri Cheng Wang,2026-07-03,25.0,,62.0,3125,44,3,4
207141,Yani Neko,2026-07-03,,24.0,68.0,67149,1171,6,4
204466,Otome Kaijuu Caraméliser,2026-07-03,12.0,24.0,75.0,35750,594,6,4
202896,Cheat Item Kanrikyoku no Oshigoto EX Sanzan Yarareta Ato Dashi Douse Zenbu Wasureru kara Higaisha Tsumamigui Shitemo Ii yo ne,2026-07-03,1.0,20.0,53.0,512,19,3,2
199748,Koko wa Ore ni Makasete Saki ni Ike to Ittekara 10-nen ga Tattara Densetsu ni Natteita.,2026-07-03,12.0,23.0,63.0,36529,463,3,4
198044,Juurin Oukoku: Elf Oukoku wa Kyodai Naedoko ni,2026-07-03,2.0,30.0,,300,12,4,4
196218,Ryoumin 0-Nin Start no Henkyou Ryoushu-sama,2026-07-03,12.0,25.0,67.0,28860,368,3,4
188525,Kore Kaite Shine,2026-07-03,12.0,23.0,76.0,10027,118,6,4
180136,Tsuihou Sareta Tensei Juukishi wa Game Chishiki de Musou Suru,2026-07-03,26.0,24.0,67.0,55839,919,6,4
213861,"Let's Roll, Cinnamoroll! 2",2026-07-02,,4.0,,111,1,3,4
209669,Hanazakari no Kimitachi e 2nd Season,2026-07-02,13.0,24.0,68.0,6546,91,3,4
203880,Reiwa no Dara-san,2026-07-02,13.0,24.0,65.0,12248,168,6,4
201667,Bungou Stray Dogs Wan! 2,2026-07-02,12.0,12.0,74.0,4524,96,7,4
198376,BanG Dream! Yume∞Mita,2026-07-02,13.0,24.0,74.0,6944,121,6,4
197715,LV999 no Murabito,2026-07-02,12.0,24.0,60.0,34765,454,3,4
213426,Chikyuu Daisuki! Kikkun,2026-07-01,52.0,2.0,,58,1,7,4
214865,FBKINGDOM STORY,2026-06-30,1.0,2.0,,48,3,3,2
196219,Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,2026-06-30,12.0,24.0,63.0,18718,204,6,4
206521,World Is Dancing,2026-06-29,13.0,24.0,72.0,20762,174,3,4
186863,Neko to Ryuu,2026-06-27,12.0,24.0,77.0,21768,356,3,4
211557,Furachi,2026-06-26,2.0,16.0,66.0,611,26,4,4
210116,Kare no Shiranai Himitsu wo Irete. The Animation,2026-06-26,,30.0,51.0,425,12,4,4
209873,Hamehara,2026-06-26,,,,315,11,4,4
208044,"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Bouken-roku",2026-06-26,,24.0,63.0,46342,690,3,4
206682,Soreike! Anpanman: Pantan to Yakusoku no Hoshi,2026-06-26,1.0,,,96,1,1,2
176636,Shin Keroro Gunsou Movie: Fukkatsushite Sokkou Chikyuu Metsubou no Kiki de Arimasu!,2026-06-26,1.0,,,1136,8,1,2
206194,Zhan Shen: Fanchen Shen Yu 2,2026-06-25,15.0,,67.0,918,31,3,2
192800,"Heroine? Seijo? Iie, All Works Maid desu (Ko)!",2026-06-24,12.0,24.0,70.0,20075,262,3,4
213427,Pie no Mi: Oshi no Mori e Youkoso!,2026-06-22,8.0,2.0,,60,1,3,4
213356,Guangyin Zhi Wai 2,2026-06-20,52.0,,65.0,337,16,3,4
199448,Guimi Zhi Zhu Specials,2026-06-20,3.0,25.0,86.0,12106,281,3,2
213343,MAPPA 15th Anniversary Movie,2026-06-19,1.0,2.0,50.0,188,2,5,2
213317,Roman Jet Charisma,2026-06-18,1.0,4.0,,50,1,2,2
210032,BAKI-DOU Part 2,2026-06-18,12.0,24.0,73.0,7369,110,3,2
213297,Yun Shen Buzhi Meng Special: Zhu Ming Zhi Yi,2026-06-17,6.0,22.0,,121,6,3,2
215106,Yuanshen: Zuì​hou de Yí​chan,2026-06-15,1.0,8.0,62.0,198,7,3,2
202851,Fanren Xiu Xian Zhuan Di Wu Ji,2026-06-13,52.0,20.0,68.0,481,35,3,4
208749,Nuki Nuki ♡ Zupposism,2026-06-12,,20.0,55.0,551,20,4,4
168179,Biaoren 2,2026-06-11,8.0,,66.0,2103,37,3,2
213188,Jueshi Zhan Hun 2,2026-06-09,100.0,10.0,,98,3,3,4
199418,Wan Ren Zhi Shang,2026-06-09,14.0,20.0,59.0,1652,35,3,2
137664,Cheng Huang Lu,2026-06-09,6.0,13.0,,138,2,3,2
212992,Haiiro no Shoumei,2026-06-07,1.0,3.0,,72,1,2,2
212994,Meitantei Conan: Hanamaru na Answer,2026-06-06,1.0,24.0,70.0,1387,12,5,2
215521,Zhangmen Didiao Dian,2026-06-02,40.0,10.0,,48,1,3,4
209982,Paihame Kazoku,2026-05-29,,16.0,51.0,560,15,4,4
209981,Heart Mark Oome.,2026-05-29,,16.0,67.0,899,39,4,4
208361,Seishidouin no Oshigoto The Animation,2026-05-29,,,52.0,431,13,4,4
208264,Muchuu no Tou,2026-05-29,,,,317,10,4,4
179874,Mononoke: Hebigami,2026-05-29,1.0,87.0,66.0,6709,60,1,2
212563,Isekai no Sata wa Shachiku Shidai: Omoi wo Hasemashita,2026-05-27,1.0,24.0,69.0,2574,39,4,2
212319,Nikke Nichi! Non Non Zenshou Kichi,2026-05-22,4.0,6.0,67.0,1155,31,3,2
113555,Kidou Keisatsu Patlabor EZY File 1,2026-05-22,3.0,24.0,58.0,3378,22,4,2
213668,Eri,2026-05-21,1.0,12.0,,124,1,1,2
212309,Transformers: Wild King W,2026-05-20,,4.0,,144,5,3,4
212323,Shounen to Gundam - Kidou Senshi Gundam 50-shuunen: Road to 50 - Prologue Movie,2026-05-15,1.0,6.0,79.0,1414,32,3,2
212280,Bouken wa Tsuzuite iru. FINAL FANTASY XI 24th Anniversary Movie,2026-05-15,1.0,1.0,,55,1,5,2
206354,Quanzhi Fashi 7,2026-05-13,12.0,,61.0,1973,34,3,2
194167,Love Live! Hasunosora Jogakuin School Idol Club: Bloom Garden Party,2026-05-08,1.0,75.0,72.0,3114,67,1,2
178707,Mahouka Koukou no Rettousei: Yotsuba Keishou-hen,2026-05-08,1.0,103.0,72.0,17424,227,1,2
206356,Xingchen Bian Final,2026-05-07,12.0,,59.0,281,16,3,2
211270,Fei Ren Zai 3 Part 2,2026-05-05,12.0,7.0,,78,2,3,2
204356,Boku no Hero Academia No. 170+1: More,2026-05-02,1.0,23.0,82.0,37913,786,5,2
213516,Tunshi Xingkong Movie: Juezhan Yuanshi Xing,2026-05-01,,,,169,6,3,2
211607,Jujutsu Kaisen Modulo PV,2026-05-01,1.0,1.0,79.0,3259,63,5,2
211331,Kujira wo Yumemu,2026-05-01,1.0,8.0,61.0,924,14,1,2
212557,Looney Tunes Gokko,2026-04-30,,1.0,,142,1,7,4
208314,Kyonyuu ga Futari Inai to Bokki Shinai Otto no tame ni Tomodachi wo Tsuretekita Tsuma,2026-04-30,,16.0,70.0,1124,71,4,4
196840,Iya na Kao sare nagara Opantsu Misete Moraitai Returns,2026-04-30,6.0,4.0,55.0,8694,158,3,2
153466,Pan Long,2026-04-30,20.0,,59.0,569,23,3,2
202895,Otaku no Boku ga Ichigun Gal to Tsukiaeru Made no Hanashi,2026-04-29,,,58.0,661,21,3,4
211479,KIRA,2026-04-27,1.0,3.0,66.0,396,14,2,2
211301,Kaze no Anthem,2026-04-24,1.0,4.0,75.0,1448,37,2,2
206840,Todo no Tsumari,2026-04-24,,,52.0,633,17,4,4
206145,Kai Pai La! Guaishou Da Dianying,2026-04-24,12.0,18.0,55.0,805,11,3,2
204349,Hyakushou Kizoku 3rd Season OVA,2026-04-24,2.0,5.0,,301,2,4,2
188035,Saishuu Gakushou Hibike! Euphonium - Zenpen,2026-04-24,1.0,120.0,70.0,6945,63,1,2
186833,Jiang Ye,2026-04-23,19.0,,,367,8,3,2
211181,Mu Shen Ji 4,2026-04-19,26.0,,65.0,372,27,3,4
206003,Chimimouryou,2026-04-17,2.0,20.0,48.0,531,16,4,2
208352,Dandelion,2026-04-16,7.0,29.0,71.0,8437,123,3,2
184872,Nitian Xie Shen: Nian Fan,2026-04-16,52.0,22.0,,314,13,3,4
205772,Candy Caries,2026-04-15,24.0,3.0,57.0,735,7,7,4
163793,Cheongchun Blossom: Uriui Bom,2026-04-15,12.0,15.0,,4084,32,6,2
194393,Aishiteru Game wo Owarasetai,2026-04-14,12.0,24.0,75.0,58182,1298,6,2
210823,Petals,2026-04-12,1.0,3.0,63.0,343,6,2,2
206950,Kumarba Season 3,2026-04-12,,3.0,,111,0,7,4
204269,Odekake Kozame Season 2,2026-04-12,72.0,2.0,,610,7,7,4
202386,Shou 3 Ashibe QQ Goma-chan,2026-04-12,,,,118,0,7,4
196974,Kuroneko to Majo no Kyoushitsu,2026-04-12,24.0,24.0,62.0,23065,260,6,4
195734,Ichijouma Mankitsu-gurashi!,2026-04-12,11.0,24.0,64.0,9377,126,6,2
182578,Yozakura-san Chi no Daisakusen 2nd Season,2026-04-12,12.0,24.0,75.0,25605,454,6,2
182300,Tsue to Tsurugi no Wistoria Season 2,2026-04-12,12.0,24.0,82.0,116025,4014,6,2
198113,Kill Ao,2026-04-11,12.0,24.0,74.0,45979,814,6,2
187869,"Kamiina Botan, Yoeru Sugata wa Yuri no Hana",2026-04-11,12.0,24.0,82.0,35285,1663,6,2
185211,Yowa Yowa Sensei,2026-04-11,12.0,24.0,64.0,24942,419,6,2
169228,Hokuto no Ken: FIST OF THE NORTH STAR,2026-04-11,14.0,24.0,63.0,5935,90,6,2
209312,Girls und Panzer: Ribbon no Musha Pilot-ban,2026-04-10,1.0,5.0,64.0,1043,18,5,2
206004,Love wa Gal kara Hajimaru Unmei,2026-04-10,2.0,,60.0,729,35,4,2
202508,Kami no Shizuku,2026-04-10,24.0,24.0,54.0,5722,39,6,4
198369,Meitantei Conan: Highway no Datenshi,2026-04-10,1.0,109.0,60.0,1888,19,1,2
177501,Awajima Hyakkei,2026-04-10,12.0,24.0,72.0,12868,159,6,2
182483,Hime Kishi wa Barbaroi no Yome,2026-04-09,12.0,24.0,69.0,53552,949,6,2
177508,Kujima Utaeba Ie Hororo,2026-04-09,12.0,24.0,63.0,4693,57,6,2
210687,Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 4th Season,2026-04-08,,3.0,67.0,2559,25,3,4
206951,"Megami ""Isekai Tensei Nani ni Naritai Desu ka"" Ore ""Yuusha no Rokkotsu de""",2026-04-08,12.0,23.0,71.0,20359,453,6,2
202985,"Tadaima, Ojamasaremasu!",2026-04-08,12.0,23.0,65.0,11031,150,6,2
199588,Otaku ni Yasashii Gal wa Inai!?,2026-04-08,12.0,23.0,76.0,67641,1659,6,2
199029,"Kanojo, Okarishimasu 5th Season",2026-04-08,12.0,24.0,62.0,21809,379,3,2
189046,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,2026-04-08,19.0,24.0,90.0,132551,6628,6,4
158036,Hidarikiki no Eren,2026-04-08,13.0,25.0,59.0,9386,89,6,2
207675,Hyakki Yakou Shou,2026-04-07,12.0,4.0,48.0,1324,7,7,2
199547,MARRIAGETOXIN,2026-04-07,13.0,24.0,76.0,87934,1698,6,2
197754,LIAR GAME,2026-04-07,,24.0,61.0,41357,474,6,4
195268,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.  Season 2,2026-04-07,12.0,24.0,69.0,22197,329,6,2
