estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Tang Kirin Culture,6,2,58.5,58.5,0.71,58.0,59.0,29.0,13.5,269.17,1615,6.5,39
100studio,6,6,68.17,67.5,6.77,61.0,79.0,7.4,27.67,24631.67,147790,426.17,2557
ASK Animation Studio,6,3,61.0,63.0,4.36,56.0,64.0,11.83,40.0,5221.83,31331,87.17,523
Craftar,6,2,44.0,44.0,2.83,42.0,46.0,2.83,21.17,624.33,3746,2.0,12
Red Dog Culture House,6,5,77.8,77.0,6.8,68.0,86.0,8.6,28.0,10282.33,61694,398.33,2390
Seven Stone Entertainment,6,3,59.67,59.0,8.02,52.0,68.0,16.17,18.6,1595.67,9574,24.67,148
E&H Production,6,5,68.8,69.0,7.46,59.0,76.0,7.8,28.8,23673.83,142043,404.0,2424
Platinum Vision,6,6,67.83,68.0,10.82,50.0,83.0,12.5,24.0,42183.33,253100,1002.0,6012
PRA,6,6,59.5,63.5,9.22,44.0,69.0,12.33,24.0,9433.0,56598,133.67,802
DMM.futureworks,6,6,64.67,66.5,7.28,54.0,75.0,16.67,2.5,5161.83,30971,46.67,280
Lingsanwu Animation,6,3,67.67,68.0,1.53,66.0,69.0,13.33,12.6,1917.0,11502,31.5,189
Light Chaser Animation,6,4,67.25,69.0,6.65,58.0,73.0,1.0,142.0,1095.5,6573,28.83,173
LandQ studios,6,2,66.0,66.0,9.9,59.0,73.0,9.33,26.0,4659.67,27958,95.17,571
Marza Animation Planet,6,5,58.8,56.0,10.43,52.0,77.0,2.83,35.33,2666.83,16001,62.33,374
Hayabusa Film,6,6,65.17,67.0,8.08,52.0,74.0,11.67,17.0,41056.67,246340,744.33,4466
HuaMei Animation,6,4,62.0,61.5,10.8,51.0,74.0,9.67,16.0,652.67,3916,15.67,94
Hurray!,6,6,63.0,63.0,8.0,51.0,71.0,1.0,14.33,1483.67,8902,18.17,109
Infinity Animation,6,2,58.0,58.0,2.83,56.0,60.0,9.17,38.0,246.5,1479,3.67,22
G-angle,6,6,58.67,57.5,4.23,55.0,64.0,1.0,6.5,839.33,5036,8.83,53
Gravity Well,6,6,59.0,59.5,6.13,51.0,66.0,3.67,7.67,774.0,4644,9.83,59
Geno Studio,6,6,63.0,59.5,11.76,50.0,83.0,10.67,19.0,27045.33,162272,439.17,2635
